athlete_full_name,country_id,athlete_id
Sunok KIM,20.0,343
Mihwa SHIN,20.0,344
Anna-Maria ALEXANDRI,94.0,345
Eirini-Marina ALEXANDRI,94.0,346
Clemens BRACHER,32.0,347
Michael KUONEN,32.0,348
Anita ALVAREZ,71.0,349
Mariya KOROLEVA,71.0,350
Rico PETER,32.0,351
Juerg EGGER,32.0,352
Simeon HAMILTON,71.0,353
Erik BJORNSEN,71.0,354
Alexandra PAUL,81.0,355
Mitchell ISLAM,81.0,356
Dolores HERNANDEZ,85.0,357
Carolina MENDOZA HERNANDEZ,85.0,358
Virag BALLA,9.0,359
Kincso TAKACS,9.0,360
Mathew BELCHER,7.0,361
Will RYAN,7.0,362
Evgenia TARASOVA,147.0,363
Vladimir MOROZOV,147.0,364
Annika HOCKE,29.0,365
Ruben BLOMMAERT,29.0,366
Jeong-Myeong Jo,20.0,367
Adrian Ignacio CARAMBULA RAURICH,90.0,368
Alex RANGHIERI,90.0,369
Aurimas LANKAS,104.0,370
Edvinas RAMANAUSKAS,104.0,371
Anton DAHLBERG,1.0,372
Fredrik BERGSTROM,1.0,373
Ilaria DEBERTOLIS,90.0,374
Gaia VUERICH,90.0,375
Paige LAWRENCE,81.0,376
Rudi SWIEGERS,81.0,377
Kelci BRYANT,71.0,378
Abigail JOHNSTON,71.0,379
Tina GARABEDIAN,60.0,380
Simon PROULX SENECAL,60.0,381
Alexander BOLSHUNOV,92.0,382
Alexander TERENTEV,92.0,383
Cynthia APPIAH,81.0,384
Dawn RICHARDSON WILSON,81.0,385
Niels VAN ZANDWEGHE,72.0,386
Tim BRYS,72.0,387
Julia SUDE,29.0,388
Karla BORGER,29.0,389
Jenny PERRET,32.0,390
Martin Rios,32.0,391
Genevieve ORTON,81.0,392
Kc FRASER,81.0,393
Karien ROBBERS,61.0,394
Aletta JORRITSMA,61.0,395
Marian GITLAN,91.0,396
Darius Lucian SERBAN,91.0,397
Katerina JANATOVA,50.0,398
Petra HYNCICOVA,50.0,399
Ludek SELLER,50.0,400
Michal NOVAK,50.0,401
Eden CHENG,131.0,402
Lois TOULSON,131.0,403
Polly SWANN,131.0,404
Katrin BEIERL,94.0,405
Victoria HAHN,94.0,406
Oskars MELBARDIS,87.0,407
Janis STRENGA,87.0,408
Vladimir IVANOV,27.0,409
Ivan SOZONOV,27.0,410
Santiago GONZALEZ,85.0,411
Miguel-Angel REYES-VARELA,85.0,412
Vera BAZAROVA,27.0,413
Yuri LARIONOV,27.0,414
Christian OBERSTOLZ,90.0,415
Patrick GRUBER,90.0,416
Mike EVELYN,92.0,417
Kate SHORTMAN,131.0,418
Isabelle THORPE,131.0,419
Martine Steller MORTENSEN,18.0,420
Nicholas Fadler MARTINSEN,18.0,421
Maria MACHAVA,115.0,422
Denise PARRUQUE,115.0,423
Penny COOMES,131.0,424
Nicholas BUCKLAND,131.0,425
Ryan COCHRANE,81.0,426
Hugues FOURNEL,81.0,427
Michael FUCHS,29.0,428
Birgit MICHELS,29.0,429
Jacco ARENDS,61.0,430
Selena PIEK,61.0,431
Patrick BAUMGARTNER,90.0,432
Robert MIRCEA,90.0,433
Youngjin SUK,92.0,434
Hyeonggeun KIM,92.0,435
Etienne HUBERT,54.0,436
Guillaume BURGER,54.0,437
Lukas KLEIN,128.0,438
Filip POLASEK,128.0,439
Paul Constantin PEPENE,91.0,440
Alin Florin CIOANCA,91.0,441
Chunjian LI,19.0,442
Sidong WANG,19.0,443
Konstantin SEMENOV,27.0,444
Elena ANYUSHINA,27.0,445
Kira STEPANOVA,27.0,446
Huixia LIU,19.0,447
Stefanie BOEHLER,29.0,448
Denise HERRMANN,29.0,449
Christian NICCUM,71.0,450
Katarina Rose KOWPLOS,7.0,451
Dane SAMPSON,7.0,452
Irina ANDREEVA,92.0,453
Olesia ROMASENKO,92.0,454
Sander GILLE,72.0,455
Joran VLIEGEN,72.0,456
Lourdes HARTKOPF,144.0,457
Maria Belen TAVELLA,144.0,458
Arjun LAL JAT,126.0,459
Arvind SINGH,126.0,460
Meagan DUHAMEL,81.0,461
Eric RADFORD,81.0,462
Jordan WOOD,7.0,463
Daniel BOWKER,7.0,464
Yuliya BICHYK,125.0,465
Tatsiana KUKHTA,125.0,466
Agnieszka SKRZYPULEC,14.0,467
Irmina MROZEK-GLISZCZYNSKA,14.0,468
Simon FRIEDLI,32.0,469
Andreas HAAS,32.0,470
Maria MARTYNOVA,125.0,471
Yury SHCHERBATSEVICH,125.0,472
Shasha CHEN,19.0,473
Ye JIN,19.0,474
Mary RECKFORD,71.0,475
Michelle SECHSER,71.0,476
Adriana AILINCAI,91.0,477
Iuliana BUHUS,91.0,478
Marit BJOERGEN,18.0,479
Maiken Caspersen FALLA,18.0,480
Viktor MINIBAEV,27.0,481
Nikita SHLEIKHER,27.0,482
Christoph HAFER,29.0,483
Matthias SOMMER,29.0,484
Josef DOSTAL,50.0,485
Radek SLOUF,50.0,486
Sebastian MORA VEDRI,90.0,487
Albert TORRES BARCELO,90.0,488
Megan KALMOE,71.0,489
Tracy EISSER,71.0,490
Aileen CROWLEY,24.0,491
Monika DUKARSKA,24.0,492
Jian JIN,19.0,493
Hao SHI,19.0,494
Nicole LAIRD,7.0,495
Eduardo RUBIO RODRIGUEZ,46.0,496
Adrian OQUENDO,46.0,497
Eric MURRAY,51.0,498
Hamish BOND,51.0,499
Gael MONFILS,54.0,500
Jo-Wilfried TSONGA,54.0,501
Donghyun KIM,20.0,502
Jeong-Rin Jeon,20.0,503
Illya KVASHA,36.0,504
Oleksiy PRYGOROV,36.0,505
Alex BURGER,96.0,506
Benjamin DANIEL,96.0,507
Fintan MC CARTHY,24.0,508
Paul ODONOVAN,24.0,509
Zhiyu LIU,19.0,510
Liang ZHANG,19.0,511
Martti JYLHAE,110.0,512
Ristomatti HAKOLA,110.0,513
Drazen SILIC,129.0,514
Benedikt NIKPALJ,129.0,515
Henrique HADDAD,56.0,516
Bruno BETHLEM,56.0,517
Nitya Krishinda MAHESWARI,2.0,518
Greysia POLII,2.0,519
Thomaz BELLUCCI,56.0,520
Andre SA,56.0,521
Emil JOENSSON,1.0,522
Teodor PETERSON,1.0,523
Anastasia DOTSENKO,27.0,524
Julia IVANOVA,27.0,525
Barbora KREJCIKOVA,50.0,526
Katerina SINIAKOVA,50.0,527
Pavel SOZYKIN,19.0,528
Denis GRIBANOV,19.0,529
Xinyi XIA,19.0,530
Yordan CHUCHUGANOV,83.0,531
Nico WALTHER,29.0,532
Christian POSER,29.0,533
Beat HEFTI,32.0,534
Alex BAUMANN,32.0,535
Pernelle CARRON,54.0,536
Lloyd JONES,54.0,537
Wei LIU,61.0,538
Chun Ting WONG,141.0,539
Hoi Kem DOO,141.0,540
Jamie MURRAY,90.0,541
Neal SKUPSKI,90.0,542
Bart LAMBRIEX,61.0,543
